Overall Rating,Comments,Feedback Category
Disappointed,Stop pushing LGBTQ+ books to kids.,Products Offered/ Availability
Very Satisfied,"I love the titles, but the books fall apart so easily.",All Other
Satisfied,"Our school, Maranatha Christian Academy used to be in two buildings,  15000 W. 63rd St., Shawnee, KS  66216 AND 6826 Lackman Road, Shawnee, KS  66217.  We have now moved into a new building for grades K-12 at 7055 Silverheel Street, Shawnee, KS  66226.",All Other
Satisfied,Easy registration process,Thanks/Praise
Very Satisfied,This was great! I found the books easily and correctly. Was able to complete my order in just a few minutes.,Thanks/Praise
Neutral,"Just wanted to search titles and it brought me to making a profiile for my child. I exited, signed in and restarted. None of the books my teachers requested were available",Website- Filter/Search Options
Neutral,I received an email yesterday for my child's birthday that said Wishes was a book of the week for $1. I was excited so hopped on over to the website and found it was $9...pretty disappointed.,Price
Disappointed,Hi! It would be nice to have cool titles like the pigeon or the good egg and the rest of them available in spanish. My kids are bilingual but they start reading in spanish. They love those books and are available in amazon but not here.  Thank you!,Products Offered/ Availability
Neutral,"I was supposed to get the fly guy book for free with the READS code, but I was charged $4 for this book.",Bonus Points/Rewards/Promos
Disappointed,"When viewing a flyer, i pinch to zoom in works ok.... But when i try to zoom back outthe stupid page either reloads or kicks me back to the 'choose a flyer by grade' page!! After multiple attempts i give up",Website- General Comment/Navigation
Very Satisfied,Always very happy and satisified with the books and the help I receive when I need it.,Thanks/Praise
Neutral,Still looking for where to request flyers to be sent to me.,Kits
Neutral,Finding the place to update teachers class code was a bit harder than it could have been,Connecting Teacher/Class Code
Satisfied,I haven't received any flyers since moving to my new school. Would love to receive paper flyers again .,Kits
Very Satisfied,I never received any catalogs like I normally do so I came in the site to request them.,Kits
Very Satisfied,Very easy to order with codes from flyer,Thanks/Praise
Very Satisfied,Finding how to connect the teacher once the teacher/school changed.,Connecting Teacher/Class Code
Neutral,add apple pay,Account Balance/Payment
Very Satisfied,Good experience,Thanks/Praise
Very Satisfied,WONDERFUL SELECTIONS.,Thanks/Praise
Neutral,I found it hard as the teacher to order my free items as I was trying to finish up the on-line order. I love the great deals on good books available in your orders. I am discouraged that 2 of the books I ordered have a different reading level on the back of them than what the book order form showed. I am also discouraged that most of the books in the 2nd grade order form were level K-Q. At the beginning of the year many students are around level H-J.,Bonus Points/Rewards/Promos
Satisfied,"I'm looking forward to using scholastic again.  Last year, I stopped after it was taking so long to receive the books.  It looks like it will be better this year!",Prior Year Shipping Delay
Satisfied,Viewing the online flyers was not easy to manipulate.  I had difficulty looking at the flyers and going from page to page.,Website- General Comment/Navigation
Satisfied,"As a teacher, I had trouble linking to my account.  When I clicked the link on the email you sent with a student's order, it took me to an empty cart.  After three tries, I finally just logged in without the link, reset my account, and I was finally able to reach my current order.  I had to waste about 10 minutes with this process.",Connecting Teacher/Class Code
Very Disappointed,It won’t take my payment. It says declined when I have the funds.,Account Balance/Payment
Very Satisfied,I love Scholastic Book Clubs. It makes getting good books in my student's hands so easy and affordable! I understand there was major shipping delay during COVID but I assume and hope it's much faster now!,Prior Year Shipping Delay
Neutral,"Drives me crazy when I cannot purchase an individual book, it only comes in a pack. My daughter had already read the first book and only wanted the sequel.",Products Offered/ Availability
Satisfied,Asked me to do the survey before I was able to do anything else,Website- Survey Pop Up Issue
Satisfied,Mobile version is a little wonky but I was able to do what I need- is there an app?,Website- Mobile Compatability
Very Satisfied,"I was first at the Scholastic site and was very confused, as I tried to enter an item # and it wasn’t accepted for search. It wasn’t until I googled Scholastic book order that I found the right site. Maybe I missed it, but it would be helpful to have a button at the top of the other site directing to the Book Club site. (Once I found it, excellent experience!)",Website- General Comment/Navigation
Satisfied,I wasn't able to navigate to the appropriate page from the home page.,Website- General Comment/Navigation
Satisfied,I would like to be able to purchase sequel books not in sets.,Products Offered/ Availability
Neutral,This site needs to be easier to navigate.  I would like to type in an item number on the first page and see the item come up.  Also classroom flyers should be listed on the first page so we can find books easier.,Website- Filter/Search Options
Disappointed,"Never found how to get a free book after spending $140. As a new user, it was really hard to figure out since  I am the Grandma and do all the extras for my granddaughter and am not tech savvy but want to order on line.  Took me forever to get the job done.",Bonus Points/Rewards/Promos
Neutral,Very easy to navigate.  Love the put in the ITEM # feature. Easy and quick!,Thanks/Praise
Neutral,My son loved the choices,Thanks/Praise
Very Satisfied,Great suggestions based on grade level!  Helpful for choosing books for my child.,Thanks/Praise
Disappointed,I just want to look at flyer and by books,Website- Filter/Search Options
Satisfied,I could not type in item number on opening page.,Website- Filter/Search Options
Neutral,Would like to be able to sort by grade level AND language,Website- Filter/Search Options
