WeekOf,OverallRating,Comments,FeedbackCategory
8/18/2022,Very Satisfied,Rtdv I hope you have a great birthday happy birthday birthday happy happy birthday birthday to happy birthday happy happy birthday to happy birthday you safe happy happy safe happy birthday happy thhZgg birthday happy happy birthday to happy birthday happy safe happy happy mother’s,Thanks/Praise
8/18/2022,Neutral,I miss the $1 book of the month!,Price
8/18/2022,Satisfied,Hard to find teacher order using BONUS points.,Website Performance/Navigation
8/18/2022,Satisfied,"It shows that I have a balancehowever, I would like to know from what order or what is it that I am paying a balance for.",Account Balance/Payment
8/18/2022,Neutral,It's really hard to find things. The layout is just not user friendly.,Website Performance/Navigation
8/18/2022,Very Satisfied,Will buy again!,Thanks/Praise
8/18/2022,Very Satisfied,I'm so happy to see you are showing sample pages from the books. It helps so much in finding the right level of books for my kids.,Thanks/Praise
8/18/2022,Very Satisfied,"Scholastic always seems to have an excellent selection of books at generally good prices. Plus, I like to support my granddaughter's school!",Thanks/Praise
8/18/2022,Satisfied,I wanted to view some of the first grade books by price rather than flyer. I couldn't find how to do that.,Website Performance/Navigation
8/18/2022,Very Satisfied,very easy and convenient,Thanks/Praise
8/18/2022,Satisfied,"I'm upset that I have a $10 book order, and I have to pay $7 shipping. It's not a big deal, but I likely won't be sending out book orders anymore.",Price
8/18/2022,Very Disappointed,Don't like privacy statement. Should be more secure with children's info.,All Other
8/18/2022,Neutral,I wish the books available on the regular site were also available on the book club. There's alot more choices through the regular site which I would have liked to purchase if I could submit it through my childs class.,Products Offered/Availability
8/18/2022,Neutral,When using the mobile site I was unable to see the bar where I could select my free book. I needed to switch to the desktop in order  use my free book coupon and confirm the selection.,Website Mobile Compatibility
8/18/2022,Neutral,I find it rather irritating that you do not offer any $1 book options so that we can get the most out of our free dollars for large order.   Often I find myself only using 9 of the $10.  Just a thought...,Price
8/18/2022,Neutral,it's slow,Website Performance/Navigation
8/18/2022,Very Satisfied,I love Scholastic!  Have used for years.,Thanks/Praise
8/18/2022,Very Satisfied,"Was trying to find promo codes , it said I could use up to three but I only had one.",All Other
8/18/2022,Satisfied,It was hard to figure out how to use the class code. I had to talk to a representative.,Website Performance/Navigation
8/18/2022,Neutral,I would prefer these to be shipped to my home so my child doesnt have to carry them out,All Other
8/18/2022,Very Satisfied,Easy to use and like how the flyers can be clicked on.,Thanks/Praise
8/18/2022,Neutral,"Not easy to navigate.  Also, there was to be a free book and could not find code on the website.",Website Performance/Navigation
8/18/2022,Very Satisfied,I love Scholastic. I have not used it in a few years and I have missed it.,Thanks/Praise
8/18/2022,Satisfied,"I registered and added both my kids but somehow it didn't go through and when I tried again, it froze and had to create it a 3rd time.",Website Performance/Navigation
8/18/2022,Satisfied,I would suggest making it clearer on the Scholastics main page when and how to access the Scholastic Book Club page to order books with for delivery to a child's teacher.  It is a bit confusing regarding which site to go to.,Website Performance/Navigation
8/18/2022,Satisfied,"Wish you all still had the dollar book, it makes it more affordable for teachers to purchase books for those less fortunate.",Price
8/18/2022,Satisfied,"I've always had an easy time with the website, We ran into challenges with fulfilling our orders  in a timely manner last year",Hopeful Shipping Improves this Year
8/18/2022,Neutral,Wish there were more board books or hard spine books available for order. Would pay more for books if they had a substantial binding as opposed to paper.,Products Offered/Availability
8/18/2022,Satisfied,I wish there was a way to look for the value or sale books for the month. I have to click each flyer and then search through the site to find the $2 and $3 books for the month.,Website Performance/Navigation
8/18/2022,Very Satisfied,Hope the books will come in in a timely manner this year.  I placed an order last year at this time and it took 3 months to receive it.  I did not order again last year after that.,Hopeful Shipping Improves this Year
8/18/2022,Satisfied,Really miss the great dollar book section!,Price
8/18/2022,Very Satisfied,I love the bonus points system!,Thanks/Praise
8/18/2022,Very Satisfied,I didn't purchase the 30 gift certificates for birthdays this year. There are not enough $5 books for kids to choose from.,Products Offered/Availability
8/18/2022,Very Satisfied,I have been ordering from scholastic for 33 years. I love this place!,Thanks/Praise
8/18/2022,Neutral,Make a banner that explains to parents that the fliers are interactive and books can be ordered by clicking on the images on the flier.,Website Performance/Navigation
8/18/2022,Very Satisfied,I'm hoping the delay in shipping has gotten better. Last year I decided not to order after I placed my first order.,Hopeful Shipping Improves this Year
8/18/2022,Neutral,Unable to find a book on this site that was offered in The Parent Store.,Products Offered/Availability
8/18/2022,Very Satisfied,Great experience!  I've purchased from Scholastic before and do not recall being able to make a donation so I appreciate there is an option to do so.,Thanks/Praise
8/18/2022,Satisfied,Need to have larger print. Hard to read,All Other
8/18/2022,Satisfied,love the categories to help my search and smooth website. great!,Thanks/Praise
8/18/2022,Satisfied,Differentiated between me as a teacher and as a parent was confusing at first.,Website Performance/Navigation
8/18/2022,Neutral,It's a little confusing to have the regular scholastic.com shop and the book club shop.,Website Performance/Navigation
8/18/2022,Disappointed,"I wish there was a better way to access my campaign or have it on my dashboard.  Also, looking for books, I wish there were pictures by they titles.  When picking out ""free"" books, I wish there was a search option for price as well.  Thank you.",Website Performance/Navigation
8/18/2022,Satisfied,Just wondering why I am now charged taxes?,Account Balance/Payment
8/18/2022,Very Satisfied,Thank you! Great variety for students to choose from. My daughter loves ordering and receiving her books and crafts!,Thanks/Praise
8/18/2022,Satisfied,I wish there were more 1.50 or 1 books available to purchase. I miss the special priced ones each month.,Price
8/18/2022,Very Satisfied,Love the user friendly access now.  Thanks!,Thanks/Praise
8/18/2022,Satisfied,"I just didn't know where my teacher ""perks"" would be put on this order, but after I got to check out, then the free stuff became available.",Website Performance/Navigation
8/18/2022,Satisfied,"When first logging on I saw the Dollar Books but when I went back to look for it, I couldn't find it. I logged out and started again and found the section with dollar books.",Website Performance/Navigation
